p225_022_sync|data\VCTK\test_data\p225_022.wav|data\VCTK\vctk-16k\p292\p292_025.wav
p225_029_sync|data\VCTK\test_data\p225_029.wav|data\VCTK\vctk-16k\p323\p323_087.wav
p225_328_sync|data\VCTK\test_data\p225_328.wav|data\VCTK\vctk-16k\p240\p240_299.wav
p225_355_sync|data\VCTK\test_data\p225_355.wav|data\VCTK\vctk-16k\p336\p336_236.wav
p226_193_sync|data\VCTK\test_data\p226_193.wav|data\VCTK\vctk-16k\p308\p308_226.wav
p226_227_sync|data\VCTK\test_data\p226_227.wav|data\VCTK\vctk-16k\p323\p323_401.wav
p226_242_sync|data\VCTK\test_data\p226_242.wav|data\VCTK\vctk-16k\p336\p336_373.wav
p227_063_sync|data\VCTK\test_data\p227_063.wav|data\VCTK\vctk-16k\p304\p304_003.wav
p227_179_sync|data\VCTK\test_data\p227_179.wav|data\VCTK\vctk-16k\p308\p308_044.wav
p227_296_sync|data\VCTK\test_data\p227_296.wav|data\VCTK\vctk-16k\p308\p308_256.wav
p228_088_sync|data\VCTK\test_data\p228_088.wav|data\VCTK\vctk-16k\p229\p229_301.wav
p228_320_sync|data\VCTK\test_data\p228_320.wav|data\VCTK\vctk-16k\p323\p323_162.wav
p229_010_sync|data\VCTK\test_data\p229_010.wav|data\VCTK\vctk-16k\p240\p240_314.wav
p229_162_sync|data\VCTK\test_data\p229_162.wav|data\VCTK\vctk-16k\p308\p308_023.wav
p229_294_sync|data\VCTK\test_data\p229_294.wav|data\VCTK\vctk-16k\p229\p229_099.wav
p230_058_sync|data\VCTK\test_data\p230_058.wav|data\VCTK\vctk-16k\p308\p308_128.wav
p230_066_sync|data\VCTK\test_data\p230_066.wav|data\VCTK\vctk-16k\p300\p300_369.wav
p230_087_sync|data\VCTK\test_data\p230_087.wav|data\VCTK\vctk-16k\p229\p229_340.wav
p230_190_sync|data\VCTK\test_data\p230_190.wav|data\VCTK\vctk-16k\p292\p292_284.wav
p230_233_sync|data\VCTK\test_data\p230_233.wav|data\VCTK\vctk-16k\p304\p304_101.wav
p231_114_sync|data\VCTK\test_data\p231_114.wav|data\VCTK\vctk-16k\p229\p229_311.wav
p231_150_sync|data\VCTK\test_data\p231_150.wav|data\VCTK\vctk-16k\p334\p334_422.wav
p231_224_sync|data\VCTK\test_data\p231_224.wav|data\VCTK\vctk-16k\p287\p287_126.wav
p231_283_sync|data\VCTK\test_data\p231_283.wav|data\VCTK\vctk-16k\p229\p229_184.wav
p231_310_sync|data\VCTK\test_data\p231_310.wav|data\VCTK\vctk-16k\p300\p300_291.wav
p231_362_sync|data\VCTK\test_data\p231_362.wav|data\VCTK\vctk-16k\p304\p304_036.wav
p232_131_sync|data\VCTK\test_data\p232_131.wav|data\VCTK\vctk-16k\p364\p364_001.wav
p232_141_sync|data\VCTK\test_data\p232_141.wav|data\VCTK\vctk-16k\p336\p336_167.wav
p233_068_sync|data\VCTK\test_data\p233_068.wav|data\VCTK\vctk-16k\p229\p229_058.wav
p233_218_sync|data\VCTK\test_data\p233_218.wav|data\VCTK\vctk-16k\p304\p304_039.wav
p234_053_sync|data\VCTK\test_data\p234_053.wav|data\VCTK\vctk-16k\p287\p287_404.wav
p234_118_sync|data\VCTK\test_data\p234_118.wav|data\VCTK\vctk-16k\p229\p229_204.wav
p234_176_sync|data\VCTK\test_data\p234_176.wav|data\VCTK\vctk-16k\p308\p308_158.wav
p234_288_sync|data\VCTK\test_data\p234_288.wav|data\VCTK\vctk-16k\p292\p292_384.wav
p234_290_sync|data\VCTK\test_data\p234_290.wav|data\VCTK\vctk-16k\p364\p364_290.wav
p236_087_sync|data\VCTK\test_data\p236_087.wav|data\VCTK\vctk-16k\p300\p300_208.wav
p236_308_sync|data\VCTK\test_data\p236_308.wav|data\VCTK\vctk-16k\p334\p334_187.wav
p236_319_sync|data\VCTK\test_data\p236_319.wav|data\VCTK\vctk-16k\p323\p323_128.wav
p236_336_sync|data\VCTK\test_data\p236_336.wav|data\VCTK\vctk-16k\p304\p304_217.wav
p236_371_sync|data\VCTK\test_data\p236_371.wav|data\VCTK\vctk-16k\p323\p323_241.wav
p236_396_sync|data\VCTK\test_data\p236_396.wav|data\VCTK\vctk-16k\p299\p299_104.wav
p236_418_sync|data\VCTK\test_data\p236_418.wav|data\VCTK\vctk-16k\p336\p336_078.wav
p236_464_sync|data\VCTK\test_data\p236_464.wav|data\VCTK\vctk-16k\p364\p364_067.wav
p236_466_sync|data\VCTK\test_data\p236_466.wav|data\VCTK\vctk-16k\p304\p304_017.wav
p236_500_sync|data\VCTK\test_data\p236_500.wav|data\VCTK\vctk-16k\p323\p323_315.wav
p237_092_sync|data\VCTK\test_data\p237_092.wav|data\VCTK\vctk-16k\p308\p308_095.wav
p237_214_sync|data\VCTK\test_data\p237_214.wav|data\VCTK\vctk-16k\p364\p364_028.wav
p237_321_sync|data\VCTK\test_data\p237_321.wav|data\VCTK\vctk-16k\p299\p299_226.wav
p238_036_sync|data\VCTK\test_data\p238_036.wav|data\VCTK\vctk-16k\p334\p334_113.wav
p238_046_sync|data\VCTK\test_data\p238_046.wav|data\VCTK\vctk-16k\p308\p308_326.wav
p238_067_sync|data\VCTK\test_data\p238_067.wav|data\VCTK\vctk-16k\p240\p240_056.wav
p238_080_sync|data\VCTK\test_data\p238_080.wav|data\VCTK\vctk-16k\p334\p334_130.wav
p238_117_sync|data\VCTK\test_data\p238_117.wav|data\VCTK\vctk-16k\p304\p304_389.wav
p238_437_sync|data\VCTK\test_data\p238_437.wav|data\VCTK\vctk-16k\p287\p287_261.wav
p239_001_sync|data\VCTK\test_data\p239_001.wav|data\VCTK\vctk-16k\p299\p299_220.wav
p239_028_sync|data\VCTK\test_data\p239_028.wav|data\VCTK\vctk-16k\p336\p336_366.wav
p239_131_sync|data\VCTK\test_data\p239_131.wav|data\VCTK\vctk-16k\p304\p304_422.wav
p239_198_sync|data\VCTK\test_data\p239_198.wav|data\VCTK\vctk-16k\p334\p334_048.wav
p240_050_sync|data\VCTK\test_data\p240_050.wav|data\VCTK\vctk-16k\p240\p240_011.wav
p240_061_sync|data\VCTK\test_data\p240_061.wav|data\VCTK\vctk-16k\p334\p334_277.wav
p240_281_sync|data\VCTK\test_data\p240_281.wav|data\VCTK\vctk-16k\p287\p287_337.wav
p240_380_sync|data\VCTK\test_data\p240_380.wav|data\VCTK\vctk-16k\p334\p334_306.wav
p241_162_sync|data\VCTK\test_data\p241_162.wav|data\VCTK\vctk-16k\p287\p287_374.wav
p243_126_sync|data\VCTK\test_data\p243_126.wav|data\VCTK\vctk-16k\p304\p304_197.wav
p243_260_sync|data\VCTK\test_data\p243_260.wav|data\VCTK\vctk-16k\p240\p240_143.wav
p243_382_sync|data\VCTK\test_data\p243_382.wav|data\VCTK\vctk-16k\p300\p300_193.wav
p244_234_sync|data\VCTK\test_data\p244_234.wav|data\VCTK\vctk-16k\p336\p336_043.wav
p244_272_sync|data\VCTK\test_data\p244_272.wav|data\VCTK\vctk-16k\p304\p304_024.wav
p244_385_sync|data\VCTK\test_data\p244_385.wav|data\VCTK\vctk-16k\p299\p299_052.wav
p245_191_sync|data\VCTK\test_data\p245_191.wav|data\VCTK\vctk-16k\p308\p308_150.wav
p246_065_sync|data\VCTK\test_data\p246_065.wav|data\VCTK\vctk-16k\p323\p323_159.wav
p246_073_sync|data\VCTK\test_data\p246_073.wav|data\VCTK\vctk-16k\p300\p300_224.wav
p246_126_sync|data\VCTK\test_data\p246_126.wav|data\VCTK\vctk-16k\p229\p229_297.wav
p247_037_sync|data\VCTK\test_data\p247_037.wav|data\VCTK\vctk-16k\p304\p304_280.wav
p247_083_sync|data\VCTK\test_data\p247_083.wav|data\VCTK\vctk-16k\p300\p300_001.wav
p247_416_sync|data\VCTK\test_data\p247_416.wav|data\VCTK\vctk-16k\p287\p287_409.wav
p248_174_sync|data\VCTK\test_data\p248_174.wav|data\VCTK\vctk-16k\p229\p229_008.wav
p248_288_sync|data\VCTK\test_data\p248_288.wav|data\VCTK\vctk-16k\p287\p287_269.wav
p248_371_sync|data\VCTK\test_data\p248_371.wav|data\VCTK\vctk-16k\p240\p240_067.wav
p249_118_sync|data\VCTK\test_data\p249_118.wav|data\VCTK\vctk-16k\p323\p323_121.wav
p249_130_sync|data\VCTK\test_data\p249_130.wav|data\VCTK\vctk-16k\p299\p299_220.wav
p249_312_sync|data\VCTK\test_data\p249_312.wav|data\VCTK\vctk-16k\p229\p229_322.wav
p250_001_sync|data\VCTK\test_data\p250_001.wav|data\VCTK\vctk-16k\p308\p308_345.wav
p250_050_sync|data\VCTK\test_data\p250_050.wav|data\VCTK\vctk-16k\p336\p336_071.wav
p250_202_sync|data\VCTK\test_data\p250_202.wav|data\VCTK\vctk-16k\p336\p336_401.wav
p251_007_sync|data\VCTK\test_data\p251_007.wav|data\VCTK\vctk-16k\p240\p240_217.wav
p251_121_sync|data\VCTK\test_data\p251_121.wav|data\VCTK\vctk-16k\p364\p364_281.wav
p251_181_sync|data\VCTK\test_data\p251_181.wav|data\VCTK\vctk-16k\p299\p299_209.wav
p251_217_sync|data\VCTK\test_data\p251_217.wav|data\VCTK\vctk-16k\p323\p323_035.wav
p251_347_sync|data\VCTK\test_data\p251_347.wav|data\VCTK\vctk-16k\p292\p292_041.wav
p252_135_sync|data\VCTK\test_data\p252_135.wav|data\VCTK\vctk-16k\p304\p304_323.wav
p252_160_sync|data\VCTK\test_data\p252_160.wav|data\VCTK\vctk-16k\p300\p300_191.wav
p253_003_sync|data\VCTK\test_data\p253_003.wav|data\VCTK\vctk-16k\p287\p287_281.wav
p253_023_sync|data\VCTK\test_data\p253_023.wav|data\VCTK\vctk-16k\p300\p300_059.wav
p253_107_sync|data\VCTK\test_data\p253_107.wav|data\VCTK\vctk-16k\p292\p292_078.wav
p253_157_sync|data\VCTK\test_data\p253_157.wav|data\VCTK\vctk-16k\p334\p334_328.wav
p253_280_sync|data\VCTK\test_data\p253_280.wav|data\VCTK\vctk-16k\p300\p300_054.wav
p253_332_sync|data\VCTK\test_data\p253_332.wav|data\VCTK\vctk-16k\p287\p287_339.wav
p254_060_sync|data\VCTK\test_data\p254_060.wav|data\VCTK\vctk-16k\p364\p364_054.wav
p254_167_sync|data\VCTK\test_data\p254_167.wav|data\VCTK\vctk-16k\p287\p287_091.wav
p255_049_sync|data\VCTK\test_data\p255_049.wav|data\VCTK\vctk-16k\p292\p292_060.wav
p255_143_sync|data\VCTK\test_data\p255_143.wav|data\VCTK\vctk-16k\p300\p300_079.wav
p255_162_sync|data\VCTK\test_data\p255_162.wav|data\VCTK\vctk-16k\p240\p240_126.wav
p255_256_sync|data\VCTK\test_data\p255_256.wav|data\VCTK\vctk-16k\p300\p300_197.wav
p255_302_sync|data\VCTK\test_data\p255_302.wav|data\VCTK\vctk-16k\p300\p300_180.wav
p256_172_sync|data\VCTK\test_data\p256_172.wav|data\VCTK\vctk-16k\p364\p364_306.wav
p256_233_sync|data\VCTK\test_data\p256_233.wav|data\VCTK\vctk-16k\p287\p287_180.wav
p257_064_sync|data\VCTK\test_data\p257_064.wav|data\VCTK\vctk-16k\p292\p292_154.wav
p257_167_sync|data\VCTK\test_data\p257_167.wav|data\VCTK\vctk-16k\p334\p334_179.wav
p257_336_sync|data\VCTK\test_data\p257_336.wav|data\VCTK\vctk-16k\p300\p300_250.wav
p258_172_sync|data\VCTK\test_data\p258_172.wav|data\VCTK\vctk-16k\p240\p240_011.wav
p258_363_sync|data\VCTK\test_data\p258_363.wav|data\VCTK\vctk-16k\p300\p300_020.wav
p259_420_sync|data\VCTK\test_data\p259_420.wav|data\VCTK\vctk-16k\p229\p229_231.wav
p260_244_sync|data\VCTK\test_data\p260_244.wav|data\VCTK\vctk-16k\p308\p308_233.wav
p261_163_sync|data\VCTK\test_data\p261_163.wav|data\VCTK\vctk-16k\p308\p308_280.wav
p261_474_sync|data\VCTK\test_data\p261_474.wav|data\VCTK\vctk-16k\p300\p300_165.wav
p262_201_sync|data\VCTK\test_data\p262_201.wav|data\VCTK\vctk-16k\p287\p287_356.wav
p262_245_sync|data\VCTK\test_data\p262_245.wav|data\VCTK\vctk-16k\p323\p323_407.wav
p262_317_sync|data\VCTK\test_data\p262_317.wav|data\VCTK\vctk-16k\p323\p323_035.wav
p262_372_sync|data\VCTK\test_data\p262_372.wav|data\VCTK\vctk-16k\p334\p334_208.wav
p263_043_sync|data\VCTK\test_data\p263_043.wav|data\VCTK\vctk-16k\p240\p240_329.wav
p263_241_sync|data\VCTK\test_data\p263_241.wav|data\VCTK\vctk-16k\p364\p364_253.wav
p263_271_sync|data\VCTK\test_data\p263_271.wav|data\VCTK\vctk-16k\p229\p229_039.wav
p263_368_sync|data\VCTK\test_data\p263_368.wav|data\VCTK\vctk-16k\p323\p323_394.wav
p264_001_sync|data\VCTK\test_data\p264_001.wav|data\VCTK\vctk-16k\p300\p300_292.wav
p264_089_sync|data\VCTK\test_data\p264_089.wav|data\VCTK\vctk-16k\p323\p323_044.wav
p264_136_sync|data\VCTK\test_data\p264_136.wav|data\VCTK\vctk-16k\p304\p304_378.wav
p264_139_sync|data\VCTK\test_data\p264_139.wav|data\VCTK\vctk-16k\p308\p308_158.wav
p264_288_sync|data\VCTK\test_data\p264_288.wav|data\VCTK\vctk-16k\p292\p292_343.wav
p265_059_sync|data\VCTK\test_data\p265_059.wav|data\VCTK\vctk-16k\p229\p229_141.wav
p265_089_sync|data\VCTK\test_data\p265_089.wav|data\VCTK\vctk-16k\p292\p292_362.wav
p265_100_sync|data\VCTK\test_data\p265_100.wav|data\VCTK\vctk-16k\p336\p336_007.wav
p265_127_sync|data\VCTK\test_data\p265_127.wav|data\VCTK\vctk-16k\p229\p229_310.wav
p265_247_sync|data\VCTK\test_data\p265_247.wav|data\VCTK\vctk-16k\p334\p334_135.wav
p265_336_sync|data\VCTK\test_data\p265_336.wav|data\VCTK\vctk-16k\p299\p299_256.wav
p266_373_sync|data\VCTK\test_data\p266_373.wav|data\VCTK\vctk-16k\p308\p308_153.wav
p267_039_sync|data\VCTK\test_data\p267_039.wav|data\VCTK\vctk-16k\p308\p308_180.wav
p267_100_sync|data\VCTK\test_data\p267_100.wav|data\VCTK\vctk-16k\p308\p308_158.wav
p267_120_sync|data\VCTK\test_data\p267_120.wav|data\VCTK\vctk-16k\p240\p240_114.wav
p267_194_sync|data\VCTK\test_data\p267_194.wav|data\VCTK\vctk-16k\p287\p287_415.wav
p268_082_sync|data\VCTK\test_data\p268_082.wav|data\VCTK\vctk-16k\p323\p323_279.wav
p268_104_sync|data\VCTK\test_data\p268_104.wav|data\VCTK\vctk-16k\p334\p334_423.wav
p268_148_sync|data\VCTK\test_data\p268_148.wav|data\VCTK\vctk-16k\p334\p334_221.wav
p268_150_sync|data\VCTK\test_data\p268_150.wav|data\VCTK\vctk-16k\p308\p308_305.wav
p269_024_sync|data\VCTK\test_data\p269_024.wav|data\VCTK\vctk-16k\p300\p300_301.wav
p269_070_sync|data\VCTK\test_data\p269_070.wav|data\VCTK\vctk-16k\p300\p300_398.wav
p269_080_sync|data\VCTK\test_data\p269_080.wav|data\VCTK\vctk-16k\p336\p336_047.wav
p269_161_sync|data\VCTK\test_data\p269_161.wav|data\VCTK\vctk-16k\p300\p300_226.wav
p269_182_sync|data\VCTK\test_data\p269_182.wav|data\VCTK\vctk-16k\p229\p229_249.wav
p269_375_sync|data\VCTK\test_data\p269_375.wav|data\VCTK\vctk-16k\p300\p300_297.wav
p269_387_sync|data\VCTK\test_data\p269_387.wav|data\VCTK\vctk-16k\p300\p300_074.wav
p269_403_sync|data\VCTK\test_data\p269_403.wav|data\VCTK\vctk-16k\p334\p334_257.wav
p270_095_sync|data\VCTK\test_data\p270_095.wav|data\VCTK\vctk-16k\p308\p308_187.wav
p270_102_sync|data\VCTK\test_data\p270_102.wav|data\VCTK\vctk-16k\p292\p292_180.wav
p270_360_sync|data\VCTK\test_data\p270_360.wav|data\VCTK\vctk-16k\p292\p292_400.wav
p271_016_sync|data\VCTK\test_data\p271_016.wav|data\VCTK\vctk-16k\p304\p304_004.wav
p271_069_sync|data\VCTK\test_data\p271_069.wav|data\VCTK\vctk-16k\p336\p336_363.wav
p271_147_sync|data\VCTK\test_data\p271_147.wav|data\VCTK\vctk-16k\p308\p308_125.wav
p271_368_sync|data\VCTK\test_data\p271_368.wav|data\VCTK\vctk-16k\p299\p299_131.wav
p272_035_sync|data\VCTK\test_data\p272_035.wav|data\VCTK\vctk-16k\p292\p292_016.wav
p272_056_sync|data\VCTK\test_data\p272_056.wav|data\VCTK\vctk-16k\p323\p323_219.wav
p272_077_sync|data\VCTK\test_data\p272_077.wav|data\VCTK\vctk-16k\p299\p299_110.wav
p272_289_sync|data\VCTK\test_data\p272_289.wav|data\VCTK\vctk-16k\p240\p240_206.wav
p273_082_sync|data\VCTK\test_data\p273_082.wav|data\VCTK\vctk-16k\p304\p304_128.wav
p273_162_sync|data\VCTK\test_data\p273_162.wav|data\VCTK\vctk-16k\p304\p304_160.wav
p273_191_sync|data\VCTK\test_data\p273_191.wav|data\VCTK\vctk-16k\p308\p308_119.wav
p273_270_sync|data\VCTK\test_data\p273_270.wav|data\VCTK\vctk-16k\p304\p304_392.wav
p273_340_sync|data\VCTK\test_data\p273_340.wav|data\VCTK\vctk-16k\p334\p334_200.wav
p273_368_sync|data\VCTK\test_data\p273_368.wav|data\VCTK\vctk-16k\p292\p292_407.wav
p273_397_sync|data\VCTK\test_data\p273_397.wav|data\VCTK\vctk-16k\p287\p287_039.wav
p274_126_sync|data\VCTK\test_data\p274_126.wav|data\VCTK\vctk-16k\p308\p308_291.wav
p274_167_sync|data\VCTK\test_data\p274_167.wav|data\VCTK\vctk-16k\p364\p364_268.wav
p274_410_sync|data\VCTK\test_data\p274_410.wav|data\VCTK\vctk-16k\p364\p364_005.wav
